
ZTF22aaictjl
    	        name  	RA	DECL	               OTMstart  	OTMairmass_start  	OTMexptime  	  dt
7	ZTF22aaictjl  	11.86	53.46	2022-01-01T06:30:00.000  	2.61	2081.42	3.5
8	ZTF22aaictjl  	11.86	53.46	2022-01-01T07:00:00.000  	2.23	1618.02	4.0
9	ZTF22aaictjl  	11.86	53.46	2022-01-01T07:30:00.000  	1.94	1327.54	4.5
10	ZTF22aaictjl  	11.86	53.46	2022-01-01T08:00:00.000  	1.73	1139.31	5.0
11	ZTF22aaictjl  	11.86	53.46	2022-01-01T08:30:00.000  	1.56	1009.04	5.5
12	ZTF22aaictjl  	11.86	53.46	2022-01-01T09:00:00.000  	1.43	918.10	6.0
13	ZTF22aaictjl  	11.86	53.46	2022-01-01T09:30:00.000  	1.33	846.71	6.5
14	ZTF22aaictjl  	11.86	53.46	2022-01-01T10:00:00.000  	1.25	795.04	7.0
15	ZTF22aaictjl  	11.86	53.46	2022-01-01T10:30:00.000  	1.19	753.27	7.5
16	ZTF22aaictjl  	11.86	53.46	2022-01-01T11:00:00.000  	1.14	723.39	8.0
17	ZTF22aaictjl  	11.86	53.46	2022-01-01T11:30:00.000  	1.10	697.83	8.5
18	ZTF22aaictjl  	11.86	53.46	2022-01-01T12:00:00.000  	1.08	685.39	9.0
19	ZTF22aaictjl  	11.86	53.46	2022-01-01T12:30:00.000  	1.07	679.25	9.5
20	ZTF22aaictjl  	11.86	53.46	2022-01-01T13:00:00.000  	1.06	673.17	10.0

ZTF22aakdbia
    	        name  			               OTMstart  	OTMairmass_start  	OTMexptime  	  dt
71	ZTF22aakdbia  	12.09	50.53	2022-01-01T07:00:00.000  	2.50	95.39	4.0
72	ZTF22aakdbia  	12.09	50.53	2022-01-01T07:30:00.000  	2.13	81.86	4.5
73	ZTF22aakdbia  	12.09	50.53	2022-01-01T08:00:00.000  	1.86	72.67	5.0
74	ZTF22aakdbia  	12.09	50.53	2022-01-01T08:30:00.000  	1.65	65.97	5.5
75	ZTF22aakdbia  	12.09	50.53	2022-01-01T09:00:00.000  	1.49	60.98	6.0
76	ZTF22aakdbia  	12.09	50.53	2022-01-01T09:30:00.000  	1.37	57.25	6.5
77	ZTF22aakdbia  	12.09	50.53	2022-01-01T10:00:00.000  	1.28	54.61	7.0
78	ZTF22aakdbia  	12.09	50.53	2022-01-01T10:30:00.000  	1.20	52.21	7.5
79	ZTF22aakdbia  	12.09	50.53	2022-01-01T11:00:00.000  	1.15	50.71	8.0
80	ZTF22aakdbia  	12.09	50.53	2022-01-01T11:30:00.000  	1.10	49.14	8.5
81	ZTF22aakdbia  	12.09	50.53	2022-01-01T12:00:00.000  	1.07	48.26	9.0
82	ZTF22aakdbia  	12.09	50.53	2022-01-01T12:30:00.000  	1.05	47.72	9.5
83	ZTF22aakdbia  	12.09	50.53	2022-01-01T13:00:00.000  	1.05	47.72	10.0

ZTF18aaqkywr
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
92	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T07:00:00.000 	2.75	478.29	4.0
93	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T07:30:00.000 	2.31	388.91	4.5
94	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T08:00:00.000 	2.00	333.76	5.0
95	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T08:30:00.000 	1.76	295.60	5.5
96	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T09:00:00.000 	1.58	267.75	6.0
97	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T09:30:00.000 	1.44	246.93	6.5
98	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T10:00:00.000 	1.33	230.82	7.0
99	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T10:30:00.000 	1.25	219.68	7.5
100	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T11:00:00.000 	1.18	210.02	8.0
101	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T11:30:00.000 	1.13	203.51	8.5
102	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T12:00:00.000 	1.09	197.21	9.0
103	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T12:30:00.000 	1.07	194.56	9.5
104	 ZTF18aaqkywr 	12.39	51.19	 2022-01-01T13:00:00.000 	1.05	191.96	10.0

ZTF22aadpscu
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
113	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T07:00:00.000 	3.17	596.20	4.0
114	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T07:30:00.000 	2.55	449.10	4.5
115	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T08:00:00.000 	2.14	366.82	5.0
116	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T08:30:00.000 	1.84	313.40	5.5
117	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T09:00:00.000 	1.62	277.56	6.0
118	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T09:30:00.000 	1.46	252.55	6.5
119	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T10:00:00.000 	1.34	235.01	7.0
120	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T10:30:00.000 	1.24	219.68	7.5
121	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T11:00:00.000 	1.17	209.08	8.0
122	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T11:30:00.000 	1.11	200.79	8.5
123	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T12:00:00.000 	1.07	195.44	9.0
124	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T12:30:00.000 	1.04	191.10	9.5
125	 ZTF22aadpscu 	12.43	45.69	 2022-01-01T13:00:00.000 	1.03	189.38	10.0

ZTF22aajcupz
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
135	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T07:30:00.000 	2.13	332.26	4.5
136	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T08:00:00.000 	1.94	296.93	5.0
137	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T08:30:00.000 	1.78	270.17	5.5
138	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T09:00:00.000 	1.64	248.05	6.0
139	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T09:30:00.000 	1.53	230.82	6.5
140	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T10:00:00.000 	1.44	217.72	7.0
141	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T10:30:00.000 	1.37	208.14	7.5
142	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T11:00:00.000 	1.31	199.89	8.0
143	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T11:30:00.000 	1.26	192.82	8.5
144	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T12:00:00.000 	1.22	186.85	9.0
145	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T12:30:00.000 	1.20	184.34	9.5
146	 ZTF22aajcupz 	12.71	64.57	 2022-01-01T13:00:00.000 	1.18	181.87	10.0

ZTF22aalgvkp
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
160	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T09:30:00.000 	4.37	290.33	6.5
161	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T10:00:00.000 	3.09	181.06	7.0
162	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T10:30:00.000 	2.44	138.86	7.5
163	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T11:00:00.000 	2.05	117.57	8.0
164	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T11:30:00.000 	1.80	104.60	8.5
165	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T12:00:00.000 	1.63	96.03	9.0
166	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T12:30:00.000 	1.53	91.19	9.5
167	 ZTF22aalgvkp 	12.78	-11.63	 2022-01-01T13:00:00.000 	1.46	87.97	10.0

ZTF22aaecdin
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
181	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T09:30:00.000 	4.40	798.63	6.5
182	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T10:00:00.000 	3.10	461.38	7.0
183	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T10:30:00.000 	2.44	341.35	7.5
184	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T11:00:00.000 	2.05	282.60	8.0
185	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T11:30:00.000 	1.80	249.16	8.5
186	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T12:00:00.000 	1.63	226.71	9.0
187	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T12:30:00.000 	1.52	212.88	9.5
188	 ZTF22aaecdin 	12.8	-11.43	 2022-01-01T13:00:00.000 	1.45	204.43	10.0

ZTF22aahhrks
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
201	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T09:00:00.000 	5.45	2726.13	6.0
202	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T09:30:00.000 	3.46	1139.31	6.5
203	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T10:00:00.000 	2.55	729.93	7.0
204	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T10:30:00.000 	2.04	557.31	7.5
205	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T11:00:00.000 	1.72	461.38	8.0
206	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T11:30:00.000 	1.50	403.15	8.5
207	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T12:00:00.000 	1.35	365.17	9.0
208	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T12:30:00.000 	1.24	338.30	9.5
209	 ZTF22aahhrks 	13.69	14.29	 2022-01-01T13:00:00.000 	1.16	319.08	10.0

ZTF22aajmnru
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
210	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T03:00:00.000 	1.04	228.76	0.0
211	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T03:30:00.000 	1.08	235.01	0.5
212	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T04:00:00.000 	1.12	241.44	1.0
213	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T04:30:00.000 	1.19	253.69	1.5
214	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T05:00:00.000 	1.28	268.96	2.0
215	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T05:30:00.000 	1.39	289.03	2.5
216	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T06:00:00.000 	1.54	314.81	3.0
217	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T06:30:00.000 	1.75	355.45	3.5
218	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T07:00:00.000 	2.03	412.32	4.0
219	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T07:30:00.000 	2.43	502.54	4.5
220	 ZTF22aajmnru 	0.72	41.27	 2022-01-01T08:00:00.000 	3.03	667.14	5.0

ZTF22aafgqmn
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	   dt
248	 ZTF22aafgqmn 	14.13	-27.04	 2022-01-01T11:30:00.000 	5.86	977.76	8.5
