
ZTF22aaugcgl
    	        name  	RA	DECL	               OTMstart  	OTMairmass_start  	OTMexptime  	 dt
65	ZTF22aaugcgl  	14.73	12.32	2022-07-21T04:00:00.000  	1.14	824.17	1.0
66	ZTF22aaugcgl  	14.73	12.32	2022-07-21T04:30:00.000  	1.20	869.87	1.5
67	ZTF22aaugcgl  	14.73	12.32	2022-07-21T05:00:00.000  	1.28	926.40	2.0
68	ZTF22aaugcgl  	14.73	12.32	2022-07-21T05:30:00.000  	1.41	1027.35	2.5
69	ZTF22aaugcgl  	14.73	12.32	2022-07-21T06:00:00.000  	1.58	1165.22	3.0
70	ZTF22aaugcgl  	14.73	12.32	2022-07-21T06:30:00.000  	1.84	1413.81	3.5
71	ZTF22aaugcgl  	14.73	12.32	2022-07-21T07:00:00.000  	2.22	1843.42	4.0
72	ZTF22aaugcgl  	14.73	12.32	2022-07-21T07:30:00.000  	2.86	2826.00	4.5
73	ZTF22aaugcgl  	14.73	12.32	2022-07-21T08:00:00.000  	4.08	6435.67	5.0

ZTF18aasyjhd
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
107	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T04:00:00.000 	1.05	399.54	1.0
108	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T04:30:00.000 	1.09	412.32	1.5
109	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T05:00:00.000 	1.16	435.18	2.0
110	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T05:30:00.000 	1.25	467.65	2.5
111	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T06:00:00.000 	1.36	507.08	3.0
112	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T06:30:00.000 	1.53	569.98	3.5
113	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T07:00:00.000 	1.75	661.17	4.0
114	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T07:30:00.000 	2.09	816.79	4.5
115	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T08:00:00.000 	2.60	1108.98	5.0
116	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T08:30:00.000 	3.47	1843.42	5.5
117	 ZTF18aasyjhd 	14.82	27.28	 2022-07-21T09:00:00.000 	5.24	5304.07	6.0

ZTF22aaslyzf
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
128	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T04:00:00.000 	1.21	373.48	1.0
129	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T04:30:00.000 	1.27	388.91	1.5
130	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T05:00:00.000 	1.35	412.32	2.0
131	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T05:30:00.000 	1.48	451.12	2.5
132	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T06:00:00.000 	1.65	507.08	3.0
133	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T06:30:00.000 	1.92	601.58	3.5
134	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T07:00:00.000 	2.33	766.95	4.0
135	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T07:30:00.000 	3.03	1144.44	4.5
136	 ZTF22aaslyzf 	15.07	2.34	 2022-07-21T08:00:00.000 	4.42	2514.15	5.0

ZTF22aasxgjp
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
149	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T04:00:00.000 	1.08	65.82	1.0
150	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T04:30:00.000 	1.10	66.71	1.5
151	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T05:00:00.000 	1.14	68.54	2.0
152	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T05:30:00.000 	1.19	70.89	2.5
153	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T06:00:00.000 	1.25	73.82	3.0
154	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T06:30:00.000 	1.34	78.09	3.5
155	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T07:00:00.000 	1.44	82.97	4.0
156	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T07:30:00.000 	1.58	90.17	4.5
157	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T08:00:00.000 	1.75	99.33	5.0
158	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T08:30:00.000 	1.98	112.40	5.5
159	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T09:00:00.000 	2.28	131.57	6.0
160	 ZTF22aasxgjp 	15.15	52.52	 2022-07-21T09:30:00.000 	2.69	161.80	6.5

ZTF22aauurbv
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
170	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T04:00:00.000 	1.13	283.87	1.0
171	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T04:30:00.000 	1.15	289.03	1.5
172	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T05:00:00.000 	1.19	298.27	2.0
173	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T05:30:00.000 	1.23	307.81	2.5
174	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T06:00:00.000 	1.29	321.97	3.0
175	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T06:30:00.000 	1.36	338.30	3.5
176	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T07:00:00.000 	1.45	361.90	4.0
177	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T07:30:00.000 	1.56	390.66	4.5
178	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T08:00:00.000 	1.70	429.35	5.0
179	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T08:30:00.000 	1.87	478.29	5.5
180	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T09:00:00.000 	2.08	544.91	6.0
181	 ZTF22aauurbv 	15.91	59.82	 2022-07-21T09:30:00.000 	2.35	640.68	6.5

ZTF22aaemvhi
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
191	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T04:00:00.000 	1.40	214.80	1.0
192	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T04:30:00.000 	1.37	210.02	1.5
193	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T05:00:00.000 	1.37	210.02	2.0
194	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T05:30:00.000 	1.40	214.80	2.5
195	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T06:00:00.000 	1.45	221.67	3.0
196	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T06:30:00.000 	1.54	235.01	3.5
197	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T07:00:00.000 	1.68	255.98	4.0
198	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T07:30:00.000 	1.89	289.03	4.5
199	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T08:00:00.000 	2.20	344.44	5.0
200	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T08:30:00.000 	2.72	455.20	5.5
201	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T09:00:00.000 	3.64	726.65	6.0
202	 ZTF22aaemvhi 	16.9	-9.7	 2022-07-21T09:30:00.000 	5.70	2053.53	6.5

ZTF22aanqvyn
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
220	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T08:00:00.000 	3.11	1465.60	5.0
221	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T08:30:00.000 	2.49	1046.00	5.5
222	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T09:00:00.000 	2.07	824.17	6.0
223	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T09:30:00.000 	1.78	694.70	6.5
224	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T10:00:00.000 	1.57	607.02	7.0
225	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T10:30:00.000 	1.41	544.91	7.5
226	 ZTF22aanqvyn 	2.42	42.09	 2022-07-21T11:00:00.000 	1.29	500.29	8.0

ZTF22aamltry
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
233	 ZTF22aamltry 	17.6	29.37	 2022-07-21T04:00:00.000 	1.06	314.81	1.0
234	 ZTF22aamltry 	17.6	29.37	 2022-07-21T04:30:00.000 	1.03	307.81	1.5
235	 ZTF22aamltry 	17.6	29.37	 2022-07-21T05:00:00.000 	1.01	302.32	2.0
236	 ZTF22aamltry 	17.6	29.37	 2022-07-21T05:30:00.000 	1.00	299.61	2.5
237	 ZTF22aamltry 	17.6	29.37	 2022-07-21T06:00:00.000 	1.01	302.32	3.0
238	 ZTF22aamltry 	17.6	29.37	 2022-07-21T06:30:00.000 	1.03	307.81	3.5
239	 ZTF22aamltry 	17.6	29.37	 2022-07-21T07:00:00.000 	1.06	314.81	4.0
240	 ZTF22aamltry 	17.6	29.37	 2022-07-21T07:30:00.000 	1.12	330.77	4.5
241	 ZTF22aamltry 	17.6	29.37	 2022-07-21T08:00:00.000 	1.19	350.69	5.0
242	 ZTF22aamltry 	17.6	29.37	 2022-07-21T08:30:00.000 	1.28	375.16	5.5
243	 ZTF22aamltry 	17.6	29.37	 2022-07-21T09:00:00.000 	1.41	414.18	6.0
244	 ZTF22aamltry 	17.6	29.37	 2022-07-21T09:30:00.000 	1.60	471.88	6.5
245	 ZTF22aamltry 	17.6	29.37	 2022-07-21T10:00:00.000 	1.85	557.31	7.0
246	 ZTF22aamltry 	17.6	29.37	 2022-07-21T10:30:00.000 	2.22	700.98	7.5
247	 ZTF22aamltry 	17.6	29.37	 2022-07-21T11:00:00.000 	2.81	995.51	8.0

ZTF22aaobnru
    	         name 			                OTMstart 	 OTMairmass_start 	 OTMexptime 	  dt
254	 ZTF22aaobnru 	17.79	12.06	 2022-07-21T04:00:00.000 	1.17	158.92	1.0
255	 ZTF22aaobnru 	17.79	12.06	 2022-07-21T04:30:00.000 	1.12	153.30	1.5
256	 ZTF22aaobnru 	17.79	12.06	 2022-07-21T05:00:00.000 	1.09	149.89	2.0
