
ZTF22abcknjm
            name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
7   ZTF22abcknjm  3.46 -12.68  2022-09-24T06:30:00.000              5.58     1662.28  3.5
8   ZTF22abcknjm  3.46 -12.68  2022-09-24T07:00:00.000              3.63      726.65  4.0
9   ZTF22abcknjm  3.46 -12.68  2022-09-24T07:30:00.000              2.73      486.97  4.5
10  ZTF22abcknjm  3.46 -12.68  2022-09-24T08:00:00.000              2.24      387.16  5.0
11  ZTF22abcknjm  3.46 -12.68  2022-09-24T08:30:00.000              1.93      330.77  5.5
12  ZTF22abcknjm  3.46 -12.68  2022-09-24T09:00:00.000              1.72      296.93  6.0
13  ZTF22abcknjm  3.46 -12.68  2022-09-24T09:30:00.000              1.59      276.32  6.5
14  ZTF22abcknjm  3.46 -12.68  2022-09-24T10:00:00.000              1.51      264.16  7.0
15  ZTF22abcknjm  3.46 -12.68  2022-09-24T10:30:00.000              1.46      255.98  7.5
16  ZTF22abcknjm  3.46 -12.68  2022-09-24T11:00:00.000              1.44      253.69  8.0
17  ZTF22abcknjm  3.46 -12.68  2022-09-24T11:30:00.000              1.45      254.83  8.5
18  ZTF22abcknjm  3.46 -12.68  2022-09-24T12:00:00.000              1.49      260.62  9.0

ZTF22abgnagw
            name    RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
27  ZTF22abgnagw  3.48  5.79  2022-09-24T06:00:00.000              3.94     4371.44  3.0
28  ZTF22abgnagw  3.48  5.79  2022-09-24T06:30:00.000              2.80     2100.22  3.5
29  ZTF22abgnagw  3.48  5.79  2022-09-24T07:00:00.000              2.19     1413.81  4.0
30  ZTF22abgnagw  3.48  5.79  2022-09-24T07:30:00.000              1.82     1099.05  4.5
31  ZTF22abgnagw  3.48  5.79  2022-09-24T08:00:00.000              1.58      930.57  5.0
32  ZTF22abgnagw  3.48  5.79  2022-09-24T08:30:00.000              1.42      824.17  5.5
33  ZTF22abgnagw  3.48  5.79  2022-09-24T09:00:00.000              1.30      753.27  6.0
34  ZTF22abgnagw  3.48  5.79  2022-09-24T09:30:00.000              1.22      707.31  6.5
35  ZTF22abgnagw  3.48  5.79  2022-09-24T10:00:00.000              1.17      676.20  7.0
36  ZTF22abgnagw  3.48  5.79  2022-09-24T10:30:00.000              1.14      661.17  7.5
37  ZTF22abgnagw  3.48  5.79  2022-09-24T11:00:00.000              1.13      655.25  8.0
38  ZTF22abgnagw  3.48  5.79  2022-09-24T11:30:00.000              1.13      655.25  8.5
39  ZTF22abgnagw  3.48  5.79  2022-09-24T12:00:00.000              1.16      673.17  9.0

ZTF19acyriok
            name    RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
71  ZTF19acyriok  4.16 -3.17  2022-09-24T07:00:00.000              4.24     3602.80  4.0
72  ZTF19acyriok  4.16 -3.17  2022-09-24T07:30:00.000              2.96     1669.77  4.5
73  ZTF19acyriok  4.16 -3.17  2022-09-24T08:00:00.000              2.31     1118.99  5.0
74  ZTF19acyriok  4.16 -3.17  2022-09-24T08:30:00.000              1.93      889.65  5.5
75  ZTF19acyriok  4.16 -3.17  2022-09-24T09:00:00.000              1.68      753.27  6.0
76  ZTF19acyriok  4.16 -3.17  2022-09-24T09:30:00.000              1.51      670.15  6.5
77  ZTF19acyriok  4.16 -3.17  2022-09-24T10:00:00.000              1.39      615.27  7.0
78  ZTF19acyriok  4.16 -3.17  2022-09-24T10:30:00.000              1.32      585.57  7.5
79  ZTF19acyriok  4.16 -3.17  2022-09-24T11:00:00.000              1.27      562.34  8.0
80  ZTF19acyriok  4.16 -3.17  2022-09-24T11:30:00.000              1.25      554.81  8.5
81  ZTF19acyriok  4.16 -3.17  2022-09-24T12:00:00.000              1.25      554.81  9.0

ZTF22abemdrv
             name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
89   ZTF22abemdrv  4.41  29.42  2022-09-24T05:30:00.000              5.85     1560.84  2.5
90   ZTF22abemdrv  4.41  29.42  2022-09-24T06:00:00.000              3.76      658.20  3.0
91   ZTF22abemdrv  4.41  29.42  2022-09-24T06:30:00.000              2.77      429.35  3.5
92   ZTF22abemdrv  4.41  29.42  2022-09-24T07:00:00.000              2.20      329.29  4.0
93   ZTF22abemdrv  4.41  29.42  2022-09-24T07:30:00.000              1.83      273.84  4.5
94   ZTF22abemdrv  4.41  29.42  2022-09-24T08:00:00.000              1.58      240.36  5.0
95   ZTF22abemdrv  4.41  29.42  2022-09-24T08:30:00.000              1.41      217.72  5.5
96   ZTF22abemdrv  4.41  29.42  2022-09-24T09:00:00.000              1.28      200.79  6.0
97   ZTF22abemdrv  4.41  29.42  2022-09-24T09:30:00.000              1.18      188.53  6.5
98   ZTF22abemdrv  4.41  29.42  2022-09-24T10:00:00.000              1.11      180.24  7.0
99   ZTF22abemdrv  4.41  29.42  2022-09-24T10:30:00.000              1.06      173.87  7.5
100  ZTF22abemdrv  4.41  29.42  2022-09-24T11:00:00.000              1.03      170.01  8.0
101  ZTF22abemdrv  4.41  29.42  2022-09-24T11:30:00.000              1.01      167.73  8.5
102  ZTF22abemdrv  4.41  29.42  2022-09-24T12:00:00.000              1.00      166.98  9.0

ZTF22abfnptt
             name    RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
114  ZTF22abfnptt  5.34  8.81  2022-09-24T07:30:00.000              4.92     1472.21  4.5
115  ZTF22abfnptt  5.34  8.81  2022-09-24T08:00:00.000              3.23      694.70  5.0
116  ZTF22abfnptt  5.34  8.81  2022-09-24T08:30:00.000              2.43      476.14  5.5
117  ZTF22abfnptt  5.34  8.81  2022-09-24T09:00:00.000              1.97      376.85  6.0
118  ZTF22abfnptt  5.34  8.81  2022-09-24T09:30:00.000              1.68      320.52  6.5
119  ZTF22abfnptt  5.34  8.81  2022-09-24T10:00:00.000              1.48      285.15  7.0
120  ZTF22abfnptt  5.34  8.81  2022-09-24T10:30:00.000              1.34      260.62  7.5
121  ZTF22abfnptt  5.34  8.81  2022-09-24T11:00:00.000              1.24      243.62  8.0
122  ZTF22abfnptt  5.34  8.81  2022-09-24T11:30:00.000              1.17      232.91  8.5
123  ZTF22abfnptt  5.34  8.81  2022-09-24T12:00:00.000              1.13      225.69  9.0

ZTF22abfaste
             name    RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
136  ZTF22abfaste  5.47 -5.31  2022-09-24T08:00:00.000              6.64     2287.57  5.0
137  ZTF22abfaste  5.47 -5.31  2022-09-24T08:30:00.000              3.93      736.53  5.5
138  ZTF22abfaste  5.47 -5.31  2022-09-24T09:00:00.000              2.83      459.31  6.0
139  ZTF22abfaste  5.47 -5.31  2022-09-24T09:30:00.000              2.25      350.69  6.5
140  ZTF22abfaste  5.47 -5.31  2022-09-24T10:00:00.000              1.89      294.27  7.0
141  ZTF22abfaste  5.47 -5.31  2022-09-24T10:30:00.000              1.66      260.62  7.5
142  ZTF22abfaste  5.47 -5.31  2022-09-24T11:00:00.000              1.51      239.28  8.0
143  ZTF22abfaste  5.47 -5.31  2022-09-24T11:30:00.000              1.40      224.68  8.5
144  ZTF22abfaste  5.47 -5.31  2022-09-24T12:00:00.000              1.33      215.77  9.0

ZTF22abdvqqn
             name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
160  ZTF22abdvqqn  7.67  13.88  2022-09-24T09:30:00.000              5.57     1560.84  6.5
161  ZTF22abdvqqn  7.67  13.88  2022-09-24T10:00:00.000              3.51      646.47  7.0
162  ZTF22abdvqqn  7.67  13.88  2022-09-24T10:30:00.000              2.58      425.51  7.5
163  ZTF22abdvqqn  7.67  13.88  2022-09-24T11:00:00.000              2.06      329.29  8.0
164  ZTF22abdvqqn  7.67  13.88  2022-09-24T11:30:00.000              1.73      276.32  8.5
165  ZTF22abdvqqn  7.67  13.88  2022-09-24T12:00:00.000              1.51      243.62  9.0

ZTF22abexdnd
             name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
182  ZTF22abexdnd  8.45  21.64  2022-09-24T10:00:00.000              5.20     5473.70  7.0
183  ZTF22abexdnd  8.45  21.64  2022-09-24T10:30:00.000              3.40     1835.15  7.5
184  ZTF22abexdnd  8.45  21.64  2022-09-24T11:00:00.000              2.54     1094.11  8.0
185  ZTF22abexdnd  8.45  21.64  2022-09-24T11:30:00.000              2.04      805.84  8.5
186  ZTF22abexdnd  8.45  21.64  2022-09-24T12:00:00.000              1.72      652.31  9.0

ZTF22abfulti
             name     RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
189  ZTF22abfulti  13.92  22.53  2022-09-24T03:00:00.000              3.15      189.38  0.0
190  ZTF22abfulti  13.92  22.53  2022-09-24T03:30:00.000              4.62      323.42  0.5

ZTF22aazjiam
             name   RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
210  ZTF22aazjiam  0.3  1.34  2022-09-24T03:00:00.000              4.04      649.38  0.0
211  ZTF22aazjiam  0.3  1.34  2022-09-24T03:30:00.000              2.85      394.19  0.5
212  ZTF22aazjiam  0.3  1.34  2022-09-24T04:00:00.000              2.23      296.93  1.0
213  ZTF22aazjiam  0.3  1.34  2022-09-24T04:30:00.000              1.86      248.05  1.5
214  ZTF22aazjiam  0.3  1.34  2022-09-24T05:00:00.000              1.62      218.70  2.0
215  ZTF22aazjiam  0.3  1.34  2022-09-24T05:30:00.000              1.45      198.99  2.5
216  ZTF22aazjiam  0.3  1.34  2022-09-24T06:00:00.000              1.34      186.85  3.0
217  ZTF22aazjiam  0.3  1.34  2022-09-24T06:30:00.000              1.26      177.83  3.5
218  ZTF22aazjiam  0.3  1.34  2022-09-24T07:00:00.000              1.21      172.32  4.0
219  ZTF22aazjiam  0.3  1.34  2022-09-24T07:30:00.000              1.18      169.24  4.5
220  ZTF22aazjiam  0.3  1.34  2022-09-24T08:00:00.000              1.18      169.24  5.0
221  ZTF22aazjiam  0.3  1.34  2022-09-24T08:30:00.000              1.19      170.01  5.5
222  ZTF22aazjiam  0.3  1.34  2022-09-24T09:00:00.000              1.23      174.66  6.0
223  ZTF22aazjiam  0.3  1.34  2022-09-24T09:30:00.000              1.29      181.06  6.5
224  ZTF22aazjiam  0.3  1.34  2022-09-24T10:00:00.000              1.38      191.10  7.0
225  ZTF22aazjiam  0.3  1.34  2022-09-24T10:30:00.000              1.51      206.28  7.5
226  ZTF22aazjiam  0.3  1.34  2022-09-24T11:00:00.000              1.70      228.76  8.0
227  ZTF22aazjiam  0.3  1.34  2022-09-24T11:30:00.000              1.98      264.16  8.5
228  ZTF22aazjiam  0.3  1.34  2022-09-24T12:00:00.000              2.43      326.34  9.0

ZTF22abfvseg
             name     RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
231  ZTF22abfvseg  16.25  61.44  2022-09-24T03:00:00.000              1.33      181.06  0.0
232  ZTF22abfvseg  16.25  61.44  2022-09-24T03:30:00.000              1.40      189.38  0.5
233  ZTF22abfvseg  16.25  61.44  2022-09-24T04:00:00.000              1.49      199.89  1.0
234  ZTF22abfvseg  16.25  61.44  2022-09-24T04:30:00.000              1.61      213.83  1.5
235  ZTF22abfvseg  16.25  61.44  2022-09-24T05:00:00.000              1.75      231.86  2.0
236  ZTF22abfvseg  16.25  61.44  2022-09-24T05:30:00.000              1.93      254.83  2.5
237  ZTF22abfvseg  16.25  61.44  2022-09-24T06:00:00.000              2.14      282.60  3.0
238  ZTF22abfvseg  16.25  61.44  2022-09-24T06:30:00.000              2.41      321.97  3.5

ZTF22abbzucj
             name    RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
252  ZTF22abbzucj  16.9 -5.35  2022-09-24T03:00:00.000              1.64      523.30  0.0
253  ZTF22abbzucj  16.9 -5.35  2022-09-24T03:30:00.000              1.86      604.30  0.5
254  ZTF22abbzucj  16.9 -5.35  2022-09-24T04:00:00.000              2.19      746.53  1.0
255  ZTF22abbzucj  16.9 -5.35  2022-09-24T04:30:00.000              2.73     1027.35  1.5
256  ZTF22abbzucj  16.9 -5.35  2022-09-24T05:00:00.000              3.72     1826.92  2.0
257  ZTF22abbzucj  16.9 -5.35  2022-09-24T05:30:00.000              6.04     7365.25  2.5

ZTF22aadgefj
             name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
273  ZTF22aadgefj  17.5  25.84  2022-09-24T03:00:00.000              1.11      159.63  0.0
274  ZTF22aadgefj  17.5  25.84  2022-09-24T03:30:00.000              1.18      167.73  0.5
275  ZTF22aadgefj  17.5  25.84  2022-09-24T04:00:00.000              1.27      177.83  1.0
276  ZTF22aadgefj  17.5  25.84  2022-09-24T04:30:00.000              1.40      192.82  1.5
277  ZTF22aadgefj  17.5  25.84  2022-09-24T05:00:00.000              1.58      214.80  2.0
278  ZTF22aadgefj  17.5  25.84  2022-09-24T05:30:00.000              1.83      245.82  2.5
279  ZTF22aadgefj  17.5  25.84  2022-09-24T06:00:00.000              2.21      298.27  3.0
280  ZTF22aadgefj  17.5  25.84  2022-09-24T06:30:00.000              2.80      392.42  3.5
281  ZTF22aadgefj  17.5  25.84  2022-09-24T07:00:00.000              3.87      620.82  4.0
282  ZTF22aadgefj  17.5  25.84  2022-09-24T07:30:00.000              6.24     1647.39  4.5

ZTF22aazbxmi
             name     RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
294  ZTF22aazbxmi  18.04  80.1  2022-09-24T03:00:00.000              1.48      408.63  0.0
295  ZTF22aazbxmi  18.04  80.1  2022-09-24T03:30:00.000              1.50      414.18  0.5
296  ZTF22aazbxmi  18.04  80.1  2022-09-24T04:00:00.000              1.52      419.80  1.0
297  ZTF22aazbxmi  18.04  80.1  2022-09-24T04:30:00.000              1.55      427.42  1.5
298  ZTF22aazbxmi  18.04  80.1  2022-09-24T05:00:00.000              1.58      435.18  2.0
299  ZTF22aazbxmi  18.04  80.1  2022-09-24T05:30:00.000              1.62      447.09  2.5
300  ZTF22aazbxmi  18.04  80.1  2022-09-24T06:00:00.000              1.67      461.38  3.0
301  ZTF22aazbxmi  18.04  80.1  2022-09-24T06:30:00.000              1.72      476.14  3.5
302  ZTF22aazbxmi  18.04  80.1  2022-09-24T07:00:00.000              1.77      489.16  4.0
303  ZTF22aazbxmi  18.04  80.1  2022-09-24T07:30:00.000              1.83      507.08  4.5
304  ZTF22aazbxmi  18.04  80.1  2022-09-24T08:00:00.000              1.90      528.03  5.0

ZTF22abfwelj
             name     RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
