
ZTF22abkpgye
            name    RA  DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
4   ZTF22abkpgye  4.61 -2.29  2022-10-25T05:00:00.000              6.42     2469.32  2.0
5   ZTF22abkpgye  4.61 -2.29  2022-10-25T05:30:00.000              3.83      813.12  2.5
6   ZTF22abkpgye  4.61 -2.29  2022-10-25T06:00:00.000              2.77      509.37  3.0
7   ZTF22abkpgye  4.61 -2.29  2022-10-25T06:30:00.000              2.20      388.91  3.5
8   ZTF22abkpgye  4.61 -2.29  2022-10-25T07:00:00.000              1.85      326.34  4.0
9   ZTF22abkpgye  4.61 -2.29  2022-10-25T07:30:00.000              1.62      287.73  4.5
10  ZTF22abkpgye  4.61 -2.29  2022-10-25T08:00:00.000              1.47      264.16  5.0
11  ZTF22abkpgye  4.61 -2.29  2022-10-25T08:30:00.000              1.36      246.93  5.5
12  ZTF22abkpgye  4.61 -2.29  2022-10-25T09:00:00.000              1.29      237.14  6.0
13  ZTF22abkpgye  4.61 -2.29  2022-10-25T09:30:00.000              1.25      230.82  6.5
14  ZTF22abkpgye  4.61 -2.29  2022-10-25T10:00:00.000              1.23      227.73  7.0
15  ZTF22abkpgye  4.61 -2.29  2022-10-25T10:30:00.000              1.23      227.73  7.5
16  ZTF22abkpgye  4.61 -2.29  2022-10-25T11:00:00.000              1.26      231.86  8.0
17  ZTF22abkpgye  4.61 -2.29  2022-10-25T11:30:00.000              1.31      239.28  8.5
18  ZTF22abkpgye  4.61 -2.29  2022-10-25T12:00:00.000              1.39      251.41  9.0
19  ZTF22abkpgye  4.61 -2.29  2022-10-25T12:30:00.000              1.51      270.17  9.5

ZTF22abgheca
            name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
30  ZTF22abgheca  6.09 -18.31  2022-10-25T07:30:00.000              5.11      330.77  4.5
31  ZTF22abgheca  6.09 -18.31  2022-10-25T08:00:00.000              3.51      189.38  5.0
32  ZTF22abgheca  6.09 -18.31  2022-10-25T08:30:00.000              2.74      141.38  5.5
33  ZTF22abgheca  6.09 -18.31  2022-10-25T09:00:00.000              2.29      117.57  6.0
34  ZTF22abgheca  6.09 -18.31  2022-10-25T09:30:00.000              2.01      104.60  6.5
35  ZTF22abgheca  6.09 -18.31  2022-10-25T10:00:00.000              1.83       96.25  7.0
36  ZTF22abgheca  6.09 -18.31  2022-10-25T10:30:00.000              1.71       90.99  7.5
37  ZTF22abgheca  6.09 -18.31  2022-10-25T11:00:00.000              1.64       87.97  8.0
38  ZTF22abgheca  6.09 -18.31  2022-10-25T11:30:00.000              1.61       86.79  8.5
39  ZTF22abgheca  6.09 -18.31  2022-10-25T12:00:00.000              1.62       87.18  9.0
40  ZTF22abgheca  6.09 -18.31  2022-10-25T12:30:00.000              1.67       89.37  9.5

ZTF22aahgnxz
            name    RA   DECL                 OTMstart  OTMairmass_start  OTMexptime   dt
48  ZTF22aahgnxz  6.72  43.38  2022-10-25T06:00:00.000              3.03      416.05  3.0
49  ZTF22aahgnxz  6.72  43.38  2022-10-25T06:30:00.000              2.44      320.52  3.5
50  ZTF22aahgnxz  6.72  43.38  2022-10-25T07:00:00.000              2.05      266.55  4.0
51  ZTF22aahgnxz  6.72  43.38  2022-10-25T07:30:00.000              1.77      231.86  4.5
52  ZTF22aahgnxz  6.72  43.38  2022-10-25T08:00:00.000              1.56      207.21  5.0
53  ZTF22aahgnxz  6.72  43.38  2022-10-25T08:30:00.000              1.41      191.10  5.5
54  ZTF22aahgnxz  6.72  43.38  2022-10-25T09:00:00.000              1.29      177.83  6.0
55  ZTF22aahgnxz  6.72  43.38  2022-10-25T09:30:00.000              1.20      167.73  6.5
56  ZTF22aahgnxz  6.72  43.38  2022-10-25T10:00:00.000              1.14      161.08  7.0
57  ZTF22aahgnxz  6.72  43.38  2022-10-25T10:30:00.000              1.09      156.08  7.5
58  ZTF22aahgnxz  6.72  43.38  2022-10-25T11:00:00.000              1.05      151.93  8.0
59  ZTF22aahgnxz  6.72  43.38  2022-10-25T11:30:00.000              1.03      149.89  8.5
60  ZTF22aahgnxz  6.72  43.38  2022-10-25T12:00:00.000              1.02      148.55  9.0
61  ZTF22aahgnxz  6.72  43.38  2022-10-25T12:30:00.000              1.02      148.55  9.5

ZTF20aahmtso
